run_id,data_dir,config_folder,split_group,label_code,csv_path,flac_path,avi_path,dir_path,csv_exists,flac_exists,avi_exists,csv_valid,flac_valid,avi_valid,csv_duration,flac_duration,avi_duration,csv_rows,flac_sample_rate,avi_fps,avi_frames,error_msg,has_all_modalities
11-21-22-0144-07,hackathon data/defect-weld,lack_of_fusion_9_11-21-22_butt,hackathon data/defect-weld_lack_of_fusion_9_11-21-22_butt,07,hackathon data/defect-weld/lack_of_fusion_9_11-21-22_butt/11-21-22-0144-07/11-21-22-0144-07.csv,hackathon data/defect-weld/lack_of_fusion_9_11-21-22_butt/11-21-22-0144-07/11-21-22-0144-07.flac,hackathon data/defect-weld/lack_of_fusion_9_11-21-22_butt/11-21-22-0144-07/11-21-22-0144-07.avi,hackathon data/defect-weld/lack_of_fusion_9_11-21-22_butt/11-21-22-0144-07,True,True,True,True,True,True,,,,0,,,0,[],True
09-26-22-0036-00,hackathon data/good_weld,good_weld_4_09-26-22_plane_plate,hackathon data/good_weld_good_weld_4_09-26-22_plane_plate,00,hackathon data/good_weld/good_weld_4_09-26-22_plane_plate/09-26-22-0036-00/09-26-22-0036-00.csv,hackathon data/good_weld/good_weld_4_09-26-22_plane_plate/09-26-22-0036-00/09-26-22-0036-00.flac,hackathon data/good_weld/good_weld_4_09-26-22_plane_plate/09-26-22-0036-00/09-26-22-0036-00.avi,hackathon data/good_weld/good_weld_4_09-26-22_plane_plate/09-26-22-0036-00,True,True,True,True,True,True,,,,0,,,0,[],True
12-25-22-0527-00,hackathon data/good_weld,good_weld_33_12-25-22_butt_BSK46,hackathon data/good_weld_good_weld_33_12-25-22_butt_BSK46,00,hackathon data/good_weld/good_weld_33_12-25-22_butt_BSK46/12-25-22-0527-00/12-25-22-0527-00.csv,hackathon data/good_weld/good_weld_33_12-25-22_butt_BSK46/12-25-22-0527-00/12-25-22-0527-00.flac,hackathon data/good_weld/good_weld_33_12-25-22_butt_BSK46/12-25-22-0527-00/12-25-22-0527-00.avi,hackathon data/good_weld/good_weld_33_12-25-22_butt_BSK46/12-25-22-0527-00,True,True,True,True,True,True,,,,0,,,0,[],True
02-23-23-0110-01,hackathon data/defect-weld,excessive_penetration_6_02-23-23_Fe410,hackathon data/defect-weld_excessive_penetration_6_02-23-23_Fe410,01,hackathon data/defect-weld/excessive_penetration_6_02-23-23_Fe410/02-23-23-0110-01/02-23-23-0110-01.csv,hackathon data/defect-weld/excessive_penetration_6_02-23-23_Fe410/02-23-23-0110-01/02-23-23-0110-01.flac,hackathon data/defect-weld/excessive_penetration_6_02-23-23_Fe410/02-23-23-0110-01/02-23-23-0110-01.avi,hackathon data/defect-weld/excessive_penetration_6_02-23-23_Fe410/02-23-23-0110-01,True,True,True,True,True,True,,,,0,,,0,[],True
12-04-22-0083-02,hackathon data/defect-weld,burnthrough_weld_6_12-04-22_butt_joint,hackathon data/defect-weld_burnthrough_weld_6_12-04-22_butt_joint,02,hackathon data/defect-weld/burnthrough_weld_6_12-04-22_butt_joint/12-04-22-0083-02/12-04-22-0083-02.csv,hackathon data/defect-weld/burnthrough_weld_6_12-04-22_butt_joint/12-04-22-0083-02/12-04-22-0083-02.flac,hackathon data/defect-weld/burnthrough_weld_6_12-04-22_butt_joint/12-04-22-0083-02/12-04-22-0083-02.avi,hackathon data/defect-weld/burnthrough_weld_6_12-04-22_butt_joint/12-04-22-0083-02,True,True,True,True,True,True,,,,0,,,0,[],True
09-26-22-0049-00,hackathon data/good_weld,good_weld_5_09-26-22_plane_plate,hackathon data/good_weld_good_weld_5_09-26-22_plane_plate,00,hackathon data/good_weld/good_weld_5_09-26-22_plane_plate/09-26-22-0049-00/09-26-22-0049-00.csv,hackathon data/good_weld/good_weld_5_09-26-22_plane_plate/09-26-22-0049-00/09-26-22-0049-00.flac,hackathon data/good_weld/good_weld_5_09-26-22_plane_plate/09-26-22-0049-00/09-26-22-0049-00.avi,hackathon data/good_weld/good_weld_5_09-26-22_plane_plate/09-26-22-0049-00,True,True,True,True,True,True,,,,0,,,0,[],True
09-26-22-0041-00,hackathon data/good_weld,good_weld_5_09-26-22_plane_plate,hackathon data/good_weld_good_weld_5_09-26-22_plane_plate,00,hackathon data/good_weld/good_weld_5_09-26-22_plane_plate/09-26-22-0041-00/09-26-22-0041-00.csv,hackathon data/good_weld/good_weld_5_09-26-22_plane_plate/09-26-22-0041-00/09-26-22-0041-00.flac,hackathon data/good_weld/good_weld_5_09-26-22_plane_plate/09-26-22-0041-00/09-26-22-0041-00.avi,hackathon data/good_weld/good_weld_5_09-26-22_plane_plate/09-26-22-0041-00,True,True,True,True,True,True,,,,0,,,0,[],True
12-06-22-0185-02,hackathon data/defect-weld,burnthrough_weld_11_12-06-22_butt_joint,hackathon data/defect-weld_burnthrough_weld_11_12-06-22_butt_joint,02,hackathon data/defect-weld/burnthrough_weld_11_12-06-22_butt_joint/12-06-22-0185-02/12-06-22-0185-02.csv,hackathon data/defect-weld/burnthrough_weld_11_12-06-22_butt_joint/12-06-22-0185-02/12-06-22-0185-02.flac,hackathon data/defect-weld/burnthrough_weld_11_12-06-22_butt_joint/12-06-22-0185-02/12-06-22-0185-02.avi,hackathon data/defect-weld/burnthrough_weld_11_12-06-22_butt_joint/12-06-22-0185-02,True,True,True,True,True,True,,,,0,,,0,[],True
03-20-23-0044-11,hackathon data/defect-weld,crater_cracks_3_03-20-23_Fe410,hackathon data/defect-weld_crater_cracks_3_03-20-23_Fe410,11,hackathon data/defect-weld/crater_cracks_3_03-20-23_Fe410/03-20-23-0044-11/03-20-23-0044-11.csv,hackathon data/defect-weld/crater_cracks_3_03-20-23_Fe410/03-20-23-0044-11/03-20-23-0044-11.flac,hackathon data/defect-weld/crater_cracks_3_03-20-23_Fe410/03-20-23-0044-11/03-20-23-0044-11.avi,hackathon data/defect-weld/crater_cracks_3_03-20-23_Fe410/03-20-23-0044-11,True,True,True,True,True,True,,,,0,,,0,[],True
12-23-22-0289-01,hackathon data/defect-weld,excessive_penetration_weld_16_12-23-22_butt_BSK46,hackathon data/defect-weld_excessive_penetration_weld_16_12-23-22_butt_BSK46,01,hackathon data/defect-weld/excessive_penetration_weld_16_12-23-22_butt_BSK46/12-23-22-0289-01/12-23-22-0289-01.csv,hackathon data/defect-weld/excessive_penetration_weld_16_12-23-22_butt_BSK46/12-23-22-0289-01/12-23-22-0289-01.flac,hackathon data/defect-weld/excessive_penetration_weld_16_12-23-22_butt_BSK46/12-23-22-0289-01/12-23-22-0289-01.avi,hackathon data/defect-weld/excessive_penetration_weld_16_12-23-22_butt_BSK46/12-23-22-0289-01,True,True,True,True,True,True,,,,0,,,0,[],True
